",",商品,全名,",",用户,评论,时间,",",用户,评论,内容
0,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,11,-,25, ,18,:,25,:,40,",",没话说,，,小伙伴,双,11,前,在,某,B, ,买,的,，,我,双,11,京东,下,的,单,，,只,比,他,贵,几百,，,但是,我,比,他,多,了,一个,京东,的,售后,支撑,，,至少,我,心里,是,放心,的,，,另外,第一次,体验,京尊达,&,hellip,;,好像,真的,是,专车,，,因为,送货,的,小哥,是,正装白,手套,，,哈哈,，,让,我,虚荣心,得到,了,满足,，,每个,电商,都,有,或多或少,的,毛病,，,反正,我,相信,京东,，,确实,不行,还有,京东,售后,嘛,，,退,呗,，,换,呗,，,最后,一点,希望,京东,不要,放弃,老客户,，,不要,一门心思,的,发展,plus,会员,了,，,我们,这些,老客户,给,你,的,支持,不必,买,你,一个,会员,少,吧
1,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,12,-,07, ,00,:,45,:,30,",",完全,被,它,的,颜值,征服,了,，,特意,用,相机,拍,了,一组,照片,，,对于,喜欢,摄影,的,我,来说,，,单反,一直,是,我,的,小老婆,，,现在,MacBook, ,pro,是,我,的,小,小老婆,了,，,拍照,前期,是,谱曲,后期,是,演奏,，,一定,要,有,一个,好,的,后期,输出设备,，,Retina,屏,简直,惊艳,到,爆,。,之前,看,大家,都,在,评论,说,触控板,很,好,用,，,没,亲自,体验,之前,觉得,大家,在,夸大其词,，,现在,简直,爱上,这块,超大,触控板,了,，,单手操作,的,效率,可以,媲美,触控屏,，,可以,完全,抛弃,鼠标,。,第一次,开机,的,时候,默认,桌面壁纸,和,店铺,首页,图片,还有,大家,晒单,的,照片,壁纸,不,一样,，,检查,了,序列号,是,没,问题,的,，,电池,循环,次数,1,，,我,猜,应该,是,后来,新,生产,的,机器,都,是,这个,壁纸,吧,，,不,知道,大家,有没有,和,我,一样,的,。,最后,，,花,了,很多,钱,买,了,一个,电子产品,，,贵,肯定,是,有,贵,的,道理,，,能用,它,创造,出,价值,来,就是,值得,的,。
2,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,12,-,16, ,17,:,09,:,42,",",东西,非常,不错,，,很,喜欢,，,加上,之前,在,京东,买,的,鼠标,耳机,，,棒棒,哒,，,12.13,立即,下手,免息,购买,，,非常,棒,，,虽然,中间,有些,小,插曲,，,但是,还是,很,好,的,，,第一次,用,mac,，,感觉,太爽了,，,跟,windows,不是,一个,级别,的,，,哈哈
3,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,11,-,15, ,14,:,06,:,41,",",对比,了,很,久,，,也,去,实体店,体验,了,，,本着,买,新,不,买,旧,的,原则,，,就,买,了,这,一款,。,13,的,屏幕,的确,刚刚,好,，,256G,也,刚刚,好,，,有着,touch, ,bar,也,是,刚刚,好
4,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,11,-,04, ,10,:,58,:,38,",",很,不错,吧,，,但是,还是,建议,大家,买,256g,的,，,不然,你,一定,会,后悔,的,！,！,！,正面,的,都,有,啦,，,给,大家,看看,侧面,。,急换,电脑,的,同学,不,建议,你们,购买,，,因为,适应期,真的,很长,。,大家,可以,装,一个,虚拟机,，,这样,双系统,起来,比较稳定,，,当然,我,舍友,的,电脑,还是,崩,了,一次,。,。,。,保佑,大家,有,好运,吧,，,我,现在,是,老,电脑,微软,和,这架,一起,使用,，,哎,，,真的,别,虚荣,，,真的,别当,颜狗,。,选择,适合,自己,的,低价,的,可能,一时,不爽,，,但是,追求,一些,不,适合,自己,的,东西,可能,会,长期,不爽,。,别,喷,，,真心话,。,。,。,。
5,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,02,-,12, ,02,:,00,:,32,",",2012,年,在,京东,买,了,第一台,联想,笔记本电脑,，,Y480, , ,6K,多,，,用,了,6,年,了,，,还是,杠杠,的,，,现在,放在,自己,办公室,当做,台式机,用,！,现在,一直,使用,苹果,产品,！,真心,觉得,不错,！,从,最初,到,现在,以及,未来,以后,！,苹果,系统,真是,杠杠,的,！,最初,iPhone,也,是,4S,～,iPhoneX,现在,，,一直,在,京东,购买,！,京东,真心,不错,！,使用,京东,6,年,的,时间,+,过程,，,一直,在,体验,，,从,最小,做到,现在,规模,怎么,大,！,希望,越来越,好,！
6,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,05,-,02, ,14,:,34,:,58,",",首先,要赞,一个,快递,服务,，,我,本来,选,的,是,最晚,的,京准,达,，,结果,回到,家,还是,很晚,了,，,后来,快递,小哥,在,晚上,九点,多,的,时候,又,跑,了,一次,，,态度,很,好,。,其次,，,很久以前,就,想,买,苹果,的,笔记本,了,，,但是,一直,以来,都,觉得,比较,#,，,而且,非常,贵,，,现在,因为,工作,上,的,原因,，,我会,用到,笔记本,，,所以,一,咬牙,买,了,，,拿到,手,就是,惊艳,，,太,艺术品,了,，,系统,很,流畅,，,安装,了,office,后,，,基本上,除了,不能,玩游戏,剩下,的,都,可以,，,玩游戏,的话,我,自己,组装,的,大,台式,吃,鸡,完全,不在话下,，,不用,安装,双系统,，,触控板,很棒,，,基本,告别,鼠标,了,，,值不值,不说,，,光,就,产品,来说,很,满意
7,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,04,-,30, ,20,:,43,:,06,",","""",在,京东,买,成,钻石,了,已经,，,这次,真,都,想,给,个,零星,。
第一次,的,本,出现,了,花屏,（,看,视频,/,开盖,）,，,当时,由于,手头,工作,较,忙,在,单位,用,win,机器,做,开发,，,使用,该,mac,的,频率,很,低,，,确认,花屏,的,时候,已经,到,了,购买,后,第,15,天,，,致电,京东,告知,我,要么,返回,京东,做,7,-,15,天,检测,，,要么,去,本地,苹果,售后,做,检测,，,由于,就要,出差,外地,正是,用本,的,时候,，,就,在,本地,售后,做,的,检测,，,坐标,石家庄,东方,大厦,，,这是,一家,Apple, ,Premium,（,比较,优质,）,的,售后,，,拿,去,检测,一天,答,曰,一切正常,，,没,办法,只好,返回,京东,检测,，,好,在,一周,左右,后,给,我,换,了,。
担心,的,还是,发生,了,，,如果说,第一次,是,小,概率,事件,，,是,我,中奖,，,那么,第二次,真的,无法,接受,，,底面,拆机,接缝处,的,小,痕迹,，,左侧,印象,细微,的,磕痕,我,都,可以,说服,自己,这是,无所谓,的,事,，,但是,使用,一个半,小时,死机,什么,鬼,？,（,只,打开,chrome,的,情况,下,）,，,第二天,F11,（,音量,减小,键,）,连击,，,看,视频,中,自动,静音,，,自动,最大,音,什么,鬼,？
基于,此,我,申请,了,退货,，,但,京东,的,几个,客服,反复,以,强硬,的,态度,告诉,我,依然,两个,选择,，,要么,去,售后,检测,，,要么,返回,京东,7,-,15,天,的,检测,。
至此,距,我,第一次,购买,已经,一个月,了,，,耽误时间,的,什么,就,不,说,了,，,真是,被,这事,恶心,到,了,。
